id,from_asset,to_asset,year,rep_period,efficiency,flow_coefficient_in_capacity_constraint,time_block_start,time_block_end,solution
1,NL_Wind_Offshore,NL_Balance,2030,1,1.0,1.0,1,2,0.0
2,NL_Wind_Offshore,NL_Balance,2030,1,1.0,1.0,3,4,0.0
3,NL_Wind_Offshore,NL_Balance,2030,1,1.0,1.0,5,6,0.0
4,NL_Wind_Offshore,NL_Balance,2030,1,1.0,1.0,7,8,0.0
5,NL_Wind_Offshore,NL_Balance,2030,1,1.0,1.0,9,10,0.0
6,NL_Wind_Offshore,NL_Balance,2030,1,1.0,1.0,11,12,0.0
7,NL_Wind_Offshore,NL_Balance,2030,1,1.0,1.0,13,14,0.0
8,NL_Wind_Offshore,NL_Balance,2030,1,1.0,1.0,15,16,0.0
9,NL_Wind_Offshore,NL_Balance,2030,1,1.0,1.0,17,18,0.0
10,NL_Wind_Offshore,NL_Balance,2030,1,1.0,1.0,19,20,0.0
11,NL_Wind_Offshore,NL_Balance,2030,1,1.0,1.0,21,22,0.0
12,NL_Wind_Offshore,NL_Balance,2030,1,1.0,1.0,23,24,0.0
13,NL_Nuclear,NL_Balance,2030,1,1.0,1.0,1,2,0.0
14,NL_Nuclear,NL_Balance,2030,1,1.0,1.0,3,4,3.5772973205894253e-07
15,NL_Nuclear,NL_Balance,2030,1,1.0,1.0,5,6,3.5772973205894253e-07
16,NL_Nuclear,NL_Balance,2030,1,1.0,1.0,7,8,0.0
17,NL_Nuclear,NL_Balance,2030,1,1.0,1.0,9,10,3.5772973205894253e-07
18,NL_Nuclear,NL_Balance,2030,1,1.0,1.0,11,12,3.5772973205894253e-07
19,NL_Nuclear,NL_Balance,2030,1,1.0,1.0,13,14,0.0
20,NL_Nuclear,NL_Balance,2030,1,1.0,1.0,15,16,3.5772973205894253e-07
21,NL_Nuclear,NL_Balance,2030,1,1.0,1.0,17,18,3.5772973205894253e-07
22,NL_Nuclear,NL_Balance,2030,1,1.0,1.0,19,20,5.96148311160505e-07
23,NL_Nuclear,NL_Balance,2030,1,1.0,1.0,21,22,1.1931115295737987e-07
24,NL_Nuclear,NL_Balance,2030,1,1.0,1.0,23,24,6.165789727674568e-07
25,NL_CCGT,NL_Balance,2030,1,1.0,1.0,1,2,0.0
26,NL_CCGT,NL_Balance,2030,1,1.0,1.0,3,4,0.0
27,NL_CCGT,NL_Balance,2030,1,1.0,1.0,5,6,0.0
28,NL_CCGT,NL_Balance,2030,1,1.0,1.0,7,8,1276.0429243287663
29,NL_CCGT,NL_Balance,2030,1,1.0,1.0,9,10,1344.1028088569788
30,NL_CCGT,NL_Balance,2030,1,1.0,1.0,11,12,1025.2834825838459
31,NL_CCGT,NL_Balance,2030,1,1.0,1.0,13,14,0.0
32,NL_CCGT,NL_Balance,2030,1,1.0,1.0,15,16,0.0
33,NL_CCGT,NL_Balance,2030,1,1.0,1.0,17,18,0.0
34,NL_CCGT,NL_Balance,2030,1,1.0,1.0,19,20,0.0
35,NL_CCGT,NL_Balance,2030,1,1.0,1.0,21,22,0.0
36,NL_CCGT,NL_Balance,2030,1,1.0,1.0,23,24,0.0
37,NL_OCGT,NL_Balance,2030,1,1.0,1.0,1,2,0.0
38,NL_OCGT,NL_Balance,2030,1,1.0,1.0,3,4,0.0
39,NL_OCGT,NL_Balance,2030,1,1.0,1.0,5,6,0.0
40,NL_OCGT,NL_Balance,2030,1,1.0,1.0,7,8,0.0
41,NL_OCGT,NL_Balance,2030,1,1.0,1.0,9,10,0.0
42,NL_OCGT,NL_Balance,2030,1,1.0,1.0,11,12,0.0
43,NL_OCGT,NL_Balance,2030,1,1.0,1.0,13,14,0.0
44,NL_OCGT,NL_Balance,2030,1,1.0,1.0,15,16,0.0
45,NL_OCGT,NL_Balance,2030,1,1.0,1.0,17,18,0.0
46,NL_OCGT,NL_Balance,2030,1,1.0,1.0,19,20,0.0
47,NL_OCGT,NL_Balance,2030,1,1.0,1.0,21,22,0.0
48,NL_OCGT,NL_Balance,2030,1,1.0,1.0,23,24,0.0
49,NL_Battery,NL_Balance,2030,1,1.0,1.0,1,2,0.0
50,NL_Battery,NL_Balance,2030,1,1.0,1.0,3,4,0.0
51,NL_Battery,NL_Balance,2030,1,1.0,1.0,5,6,0.0
52,NL_Battery,NL_Balance,2030,1,1.0,1.0,7,8,0.0
53,NL_Battery,NL_Balance,2030,1,1.0,1.0,9,10,0.0
54,NL_Battery,NL_Balance,2030,1,1.0,1.0,11,12,246.68871263000534
55,NL_Battery,NL_Balance,2030,1,1.0,1.0,13,14,246.68871263000534
56,NL_Battery,NL_Balance,2030,1,1.0,1.0,15,16,0.0
57,NL_Battery,NL_Balance,2030,1,1.0,1.0,17,18,0.0
58,NL_Battery,NL_Balance,2030,1,1.0,1.0,19,20,366.3595094550988
59,NL_Battery,NL_Balance,2030,1,1.0,1.0,21,22,0.0
60,NL_Battery,NL_Balance,2030,1,1.0,1.0,23,24,493.3774252600107
61,NL_Balance,NL_Battery,2030,1,1.0,1.0,1,2,0.0
62,NL_Balance,NL_Battery,2030,1,1.0,1.0,3,4,246.68871263000534
63,NL_Balance,NL_Battery,2030,1,1.0,1.0,5,6,0.0
64,NL_Balance,NL_Battery,2030,1,1.0,1.0,7,8,0.0
65,NL_Balance,NL_Battery,2030,1,1.0,1.0,9,10,0.0
66,NL_Balance,NL_Battery,2030,1,1.0,1.0,11,12,0.0
67,NL_Balance,NL_Battery,2030,1,1.0,1.0,13,14,0.0
68,NL_Balance,NL_Battery,2030,1,1.0,1.0,15,16,493.3774252600107
69,NL_Balance,NL_Battery,2030,1,1.0,1.0,17,18,0.0
70,NL_Balance,NL_Battery,2030,1,1.0,1.0,19,20,0.0
71,NL_Balance,NL_Battery,2030,1,1.0,1.0,21,22,239.34159365018695
72,NL_Balance,NL_Battery,2030,1,1.0,1.0,23,24,373.7066284349172
73,BE_Wind_Onshore,BE_Balance,2030,1,1.0,1.0,1,2,6544.542969554576
74,BE_Wind_Onshore,BE_Balance,2030,1,1.0,1.0,3,4,6443.216027861094
75,BE_Wind_Onshore,BE_Balance,2030,1,1.0,1.0,5,6,6034.276008800885
76,BE_Wind_Onshore,BE_Balance,2030,1,1.0,1.0,7,8,5765.033233230283
77,BE_Wind_Onshore,BE_Balance,2030,1,1.0,1.0,9,10,4756.204952842526
78,BE_Wind_Onshore,BE_Balance,2030,1,1.0,1.0,11,12,3657.700603627726
79,BE_Wind_Onshore,BE_Balance,2030,1,1.0,1.0,13,14,4116.483978607726
80,BE_Wind_Onshore,BE_Balance,2030,1,1.0,1.0,15,16,4987.370382858762
81,BE_Wind_Onshore,BE_Balance,2030,1,1.0,1.0,17,18,5365.6073689442255
82,BE_Wind_Onshore,BE_Balance,2030,1,1.0,1.0,19,20,5387.258088244556
83,BE_Wind_Onshore,BE_Balance,2030,1,1.0,1.0,21,22,6528.370890127246
84,BE_Wind_Onshore,BE_Balance,2030,1,1.0,1.0,23,24,7487.87626774851
85,BE_Wind_Offshore,BE_Balance,2030,1,1.0,1.0,1,2,0.0
86,BE_Wind_Offshore,BE_Balance,2030,1,1.0,1.0,3,4,0.0
87,BE_Wind_Offshore,BE_Balance,2030,1,1.0,1.0,5,6,0.0
88,BE_Wind_Offshore,BE_Balance,2030,1,1.0,1.0,7,8,0.0
89,BE_Wind_Offshore,BE_Balance,2030,1,1.0,1.0,9,10,0.0
90,BE_Wind_Offshore,BE_Balance,2030,1,1.0,1.0,11,12,0.0
91,BE_Wind_Offshore,BE_Balance,2030,1,1.0,1.0,13,14,0.0
92,BE_Wind_Offshore,BE_Balance,2030,1,1.0,1.0,15,16,0.0
93,BE_Wind_Offshore,BE_Balance,2030,1,1.0,1.0,17,18,0.0
94,BE_Wind_Offshore,BE_Balance,2030,1,1.0,1.0,19,20,0.0
95,BE_Wind_Offshore,BE_Balance,2030,1,1.0,1.0,21,22,0.0
96,BE_Wind_Offshore,BE_Balance,2030,1,1.0,1.0,23,24,0.0
97,BE_Coal,BE_Balance,2030,1,1.0,1.0,1,2,803.4
98,BE_Coal,BE_Balance,2030,1,1.0,1.0,3,4,884.1303576149176
