id,id_1,asset,year,rep_period,time_block_start,time_block_end,dual_sd_ramp_vars_flow_diff
113,113,AT_Coal,2030,9,17,20,0.0
114,114,AT_Coal,2030,9,21,24,0.0
115,115,AT_Coal,2030,10,1,4,0.0
116,116,AT_Coal,2030,10,5,8,0.0
117,117,AT_Coal,2030,10,9,12,0.0
118,118,AT_Coal,2030,10,13,16,0.0
119,119,AT_Coal,2030,10,17,20,0.0
120,120,AT_Coal,2030,10,21,24,0.0
121,121,AT_Nuclear,2030,1,1,4,0.0
122,122,AT_Nuclear,2030,1,5,8,0.0
123,123,AT_Nuclear,2030,1,9,12,0.0
124,124,AT_Nuclear,2030,1,13,16,0.0
125,125,AT_Nuclear,2030,1,17,20,0.0
126,126,AT_Nuclear,2030,1,21,24,0.0
127,127,AT_Nuclear,2030,2,1,4,0.0
128,128,AT_Nuclear,2030,2,5,8,0.0
129,129,AT_Nuclear,2030,2,9,12,0.0
130,130,AT_Nuclear,2030,2,13,16,0.0
131,131,AT_Nuclear,2030,2,17,20,0.0
132,132,AT_Nuclear,2030,2,21,24,0.0
133,133,AT_Nuclear,2030,3,1,4,0.0
134,134,AT_Nuclear,2030,3,5,8,0.0
135,135,AT_Nuclear,2030,3,9,12,0.0
136,136,AT_Nuclear,2030,3,13,16,0.0
137,137,AT_Nuclear,2030,3,17,20,0.0
138,138,AT_Nuclear,2030,3,21,24,0.0
139,139,AT_Nuclear,2030,4,1,4,0.0
140,140,AT_Nuclear,2030,4,5,8,0.0
141,141,AT_Nuclear,2030,4,9,12,0.0
142,142,AT_Nuclear,2030,4,13,16,0.0
143,143,AT_Nuclear,2030,4,17,20,0.0
144,144,AT_Nuclear,2030,4,21,24,0.0
145,145,AT_Nuclear,2030,5,1,4,0.0
146,146,AT_Nuclear,2030,5,5,8,0.0
147,147,AT_Nuclear,2030,5,9,12,0.0
148,148,AT_Nuclear,2030,5,13,16,0.0
149,149,AT_Nuclear,2030,5,17,20,0.0
150,150,AT_Nuclear,2030,5,21,24,0.0
151,151,AT_Nuclear,2030,6,1,4,0.0
152,152,AT_Nuclear,2030,6,5,8,0.0
153,153,AT_Nuclear,2030,6,9,12,0.0
