id,asset,year,rep_period,time_block_start,time_block_end,dual_start_up_upper_bound
252,BE_CCGT,2030,2,21,24,0.0
253,BE_CCGT,2030,3,1,4,0.0
254,BE_CCGT,2030,3,5,8,0.0
255,BE_CCGT,2030,3,9,12,0.0
256,BE_CCGT,2030,3,13,16,0.0
257,BE_CCGT,2030,3,17,20,0.0
258,BE_CCGT,2030,3,21,24,0.0
259,BE_CCGT,2030,4,1,4,0.0
260,BE_CCGT,2030,4,5,8,0.0
261,BE_CCGT,2030,4,9,12,0.0
262,BE_CCGT,2030,4,13,16,0.0
263,BE_CCGT,2030,4,17,20,0.0
264,BE_CCGT,2030,4,21,24,0.0
265,BE_CCGT,2030,5,1,4,0.0
266,BE_CCGT,2030,5,5,8,0.0
267,BE_CCGT,2030,5,9,12,0.0
268,BE_CCGT,2030,5,13,16,0.0
269,BE_CCGT,2030,5,17,20,0.0
270,BE_CCGT,2030,5,21,24,0.0
271,BE_CCGT,2030,6,1,4,0.0
272,BE_CCGT,2030,6,5,8,0.0
273,BE_CCGT,2030,6,9,12,0.0
274,BE_CCGT,2030,6,13,16,0.0
275,BE_CCGT,2030,6,17,20,0.0
276,BE_CCGT,2030,6,21,24,0.0
277,BE_CCGT,2030,7,1,4,0.0
278,BE_CCGT,2030,7,5,8,0.0
279,BE_CCGT,2030,7,9,12,0.0
280,BE_CCGT,2030,7,13,16,0.0
281,BE_CCGT,2030,7,17,20,0.0
282,BE_CCGT,2030,7,21,24,0.0
283,BE_CCGT,2030,8,1,4,0.0
284,BE_CCGT,2030,8,5,8,0.0
285,BE_CCGT,2030,8,9,12,0.0
286,BE_CCGT,2030,8,13,16,0.0
287,BE_CCGT,2030,8,17,20,0.0
288,BE_CCGT,2030,8,21,24,0.0
289,BE_CCGT,2030,9,1,4,0.0
290,BE_CCGT,2030,9,5,8,0.0
291,BE_CCGT,2030,9,9,12,0.0
292,BE_CCGT,2030,9,13,16,0.0
293,BE_CCGT,2030,9,17,20,0.0
294,BE_CCGT,2030,9,21,24,0.0
295,BE_CCGT,2030,10,1,4,0.0
296,BE_CCGT,2030,10,5,8,0.0
297,BE_CCGT,2030,10,9,12,0.0
298,BE_CCGT,2030,10,13,16,0.0
299,BE_CCGT,2030,10,17,20,0.0
300,BE_CCGT,2030,10,21,24,0.0
301,BE_Coal,2030,1,1,4,0.0
302,BE_Coal,2030,1,5,8,0.0
303,BE_Coal,2030,1,9,12,0.0
304,BE_Coal,2030,1,13,16,0.0
305,BE_Coal,2030,1,17,20,0.0
306,BE_Coal,2030,1,21,24,0.0
307,BE_Coal,2030,2,1,4,0.0
308,BE_Coal,2030,2,5,8,0.0
309,BE_Coal,2030,2,9,12,0.0
310,BE_Coal,2030,2,13,16,0.0
311,BE_Coal,2030,2,17,20,0.0
312,BE_Coal,2030,2,21,24,0.0
313,BE_Coal,2030,3,1,4,0.0
314,BE_Coal,2030,3,5,8,0.0
315,BE_Coal,2030,3,9,12,0.0
316,BE_Coal,2030,3,13,16,0.0
317,BE_Coal,2030,3,17,20,0.0
318,BE_Coal,2030,3,21,24,0.0
319,BE_Coal,2030,4,1,4,0.0
320,BE_Coal,2030,4,5,8,0.0
321,BE_Coal,2030,4,9,12,0.0
322,BE_Coal,2030,4,13,16,0.0
323,BE_Coal,2030,4,17,20,0.0
324,BE_Coal,2030,4,21,24,0.0
325,BE_Coal,2030,5,1,4,0.0
326,BE_Coal,2030,5,5,8,0.0
327,BE_Coal,2030,5,9,12,0.0
328,BE_Coal,2030,5,13,16,0.0
329,BE_Coal,2030,5,17,20,0.0
330,BE_Coal,2030,5,21,24,0.0
331,BE_Coal,2030,6,1,4,0.0
332,BE_Coal,2030,6,5,8,0.0
333,BE_Coal,2030,6,9,12,0.0
334,BE_Coal,2030,6,13,16,0.0
335,BE_Coal,2030,6,17,20,0.0
336,BE_Coal,2030,6,21,24,0.0
337,BE_Coal,2030,7,1,4,0.0
338,BE_Coal,2030,7,5,8,0.0
339,BE_Coal,2030,7,9,12,0.0
340,BE_Coal,2030,7,13,16,0.0
341,BE_Coal,2030,7,17,20,0.0
342,BE_Coal,2030,7,21,24,0.0
343,BE_Coal,2030,8,1,4,0.0
344,BE_Coal,2030,8,5,8,0.0
345,BE_Coal,2030,8,9,12,0.0
346,BE_Coal,2030,8,13,16,0.0
347,BE_Coal,2030,8,17,20,0.0
348,BE_Coal,2030,8,21,24,0.0
349,BE_Coal,2030,9,1,4,0.0
350,BE_Coal,2030,9,5,8,0.0
351,BE_Coal,2030,9,9,12,0.0
352,BE_Coal,2030,9,13,16,0.0
353,BE_Coal,2030,9,17,20,0.0
354,BE_Coal,2030,9,21,24,0.0
355,BE_Coal,2030,10,1,4,0.0
356,BE_Coal,2030,10,5,8,0.0
357,BE_Coal,2030,10,9,12,0.0
358,BE_Coal,2030,10,13,16,0.0
359,BE_Coal,2030,10,17,20,0.0
360,BE_Coal,2030,10,21,24,0.0
361,BE_Nuclear,2030,1,1,4,0.0
362,BE_Nuclear,2030,1,5,8,0.0
363,BE_Nuclear,2030,1,9,12,0.0
364,BE_Nuclear,2030,1,13,16,0.0
365,BE_Nuclear,2030,1,17,20,0.0
366,BE_Nuclear,2030,1,21,24,0.0
367,BE_Nuclear,2030,2,1,4,0.0
368,BE_Nuclear,2030,2,5,8,0.0
369,BE_Nuclear,2030,2,9,12,0.0
370,BE_Nuclear,2030,2,13,16,0.0
371,BE_Nuclear,2030,2,17,20,0.0
372,BE_Nuclear,2030,2,21,24,0.0
373,BE_Nuclear,2030,3,1,4,0.0
374,BE_Nuclear,2030,3,5,8,0.0
375,BE_Nuclear,2030,3,9,12,0.0
376,BE_Nuclear,2030,3,13,16,0.0
377,BE_Nuclear,2030,3,17,20,0.0
378,BE_Nuclear,2030,3,21,24,0.0
379,BE_Nuclear,2030,4,1,4,0.0
380,BE_Nuclear,2030,4,5,8,0.0
381,BE_Nuclear,2030,4,9,12,0.0
382,BE_Nuclear,2030,4,13,16,0.0
383,BE_Nuclear,2030,4,17,20,0.0
384,BE_Nuclear,2030,4,21,24,0.0
385,BE_Nuclear,2030,5,1,4,0.0
386,BE_Nuclear,2030,5,5,8,0.0
387,BE_Nuclear,2030,5,9,12,0.0
388,BE_Nuclear,2030,5,13,16,0.0
389,BE_Nuclear,2030,5,17,20,0.0
390,BE_Nuclear,2030,5,21,24,0.0
391,BE_Nuclear,2030,6,1,4,0.0
392,BE_Nuclear,2030,6,5,8,0.0
393,BE_Nuclear,2030,6,9,12,0.0
394,BE_Nuclear,2030,6,13,16,0.0
395,BE_Nuclear,2030,6,17,20,0.0
396,BE_Nuclear,2030,6,21,24,0.0
397,BE_Nuclear,2030,7,1,4,0.0
398,BE_Nuclear,2030,7,5,8,0.0
399,BE_Nuclear,2030,7,9,12,0.0
400,BE_Nuclear,2030,7,13,16,0.0
401,BE_Nuclear,2030,7,17,20,0.0
402,BE_Nuclear,2030,7,21,24,0.0
403,BE_Nuclear,2030,8,1,4,0.0
404,BE_Nuclear,2030,8,5,8,0.0
405,BE_Nuclear,2030,8,9,12,0.0
406,BE_Nuclear,2030,8,13,16,0.0
407,BE_Nuclear,2030,8,17,20,0.0
408,BE_Nuclear,2030,8,21,24,0.0
409,BE_Nuclear,2030,9,1,4,0.0
410,BE_Nuclear,2030,9,5,8,0.0
411,BE_Nuclear,2030,9,9,12,0.0
412,BE_Nuclear,2030,9,13,16,0.0
413,BE_Nuclear,2030,9,17,20,0.0
414,BE_Nuclear,2030,9,21,24,0.0
415,BE_Nuclear,2030,10,1,4,0.0
416,BE_Nuclear,2030,10,5,8,0.0
417,BE_Nuclear,2030,10,9,12,0.0
418,BE_Nuclear,2030,10,13,16,0.0
419,BE_Nuclear,2030,10,17,20,0.0
420,BE_Nuclear,2030,10,21,24,0.0
421,BE_OCGT,2030,1,1,4,0.0
422,BE_OCGT,2030,1,5,8,0.0
423,BE_OCGT,2030,1,9,12,0.0
424,BE_OCGT,2030,1,13,16,0.0
425,BE_OCGT,2030,1,17,20,0.0
426,BE_OCGT,2030,1,21,24,0.0
427,BE_OCGT,2030,2,1,4,0.0
428,BE_OCGT,2030,2,5,8,0.0
429,BE_OCGT,2030,2,9,12,0.0
430,BE_OCGT,2030,2,13,16,0.0
431,BE_OCGT,2030,2,17,20,0.0
432,BE_OCGT,2030,2,21,24,0.0
433,BE_OCGT,2030,3,1,4,0.0
434,BE_OCGT,2030,3,5,8,0.0
435,BE_OCGT,2030,3,9,12,0.0
436,BE_OCGT,2030,3,13,16,0.0
437,BE_OCGT,2030,3,17,20,0.0
438,BE_OCGT,2030,3,21,24,0.0
439,BE_OCGT,2030,4,1,4,0.0
440,BE_OCGT,2030,4,5,8,0.0
441,BE_OCGT,2030,4,9,12,0.0
442,BE_OCGT,2030,4,13,16,0.0
443,BE_OCGT,2030,4,17,20,0.0
444,BE_OCGT,2030,4,21,24,0.0
445,BE_OCGT,2030,5,1,4,0.0
446,BE_OCGT,2030,5,5,8,0.0
447,BE_OCGT,2030,5,9,12,0.0
448,BE_OCGT,2030,5,13,16,0.0
449,BE_OCGT,2030,5,17,20,0.0
450,BE_OCGT,2030,5,21,24,0.0
451,BE_OCGT,2030,6,1,4,0.0
452,BE_OCGT,2030,6,5,8,0.0
453,BE_OCGT,2030,6,9,12,0.0
454,BE_OCGT,2030,6,13,16,0.0
455,BE_OCGT,2030,6,17,20,0.0
456,BE_OCGT,2030,6,21,24,0.0
457,BE_OCGT,2030,7,1,4,0.0
458,BE_OCGT,2030,7,5,8,0.0
459,BE_OCGT,2030,7,9,12,0.0
