id,asset,year,rep_period,time_block_start,time_block_end,dual_max_output_flows_limit_simple_method
654,AT_Solar,2030,5,11,12,-0.20800000000000002
655,AT_Solar,2030,5,13,14,-0.20800000000000002
656,AT_Solar,2030,5,15,16,-0.20800000000000002
657,AT_Solar,2030,5,17,18,-0.20800000000000002
658,AT_Solar,2030,5,19,20,-0.20800000000000002
659,AT_Solar,2030,5,21,22,-0.20800000000000002
660,AT_Solar,2030,5,23,24,-0.20800000000000002
661,AT_Solar,2030,6,1,2,-0.6372
662,AT_Solar,2030,6,3,4,-0.07200000000000001
663,AT_Solar,2030,6,5,6,-0.6372
664,AT_Solar,2030,6,7,8,-0.6372
665,AT_Solar,2030,6,9,10,-0.6372
666,AT_Solar,2030,6,11,12,-0.6372
667,AT_Solar,2030,6,13,14,-0.6372
668,AT_Solar,2030,6,15,16,-0.6372
669,AT_Solar,2030,6,17,18,-0.6372
670,AT_Solar,2030,6,19,20,-0.6372
671,AT_Solar,2030,6,21,22,-0.6372
672,AT_Solar,2030,6,23,24,-0.6372
673,AT_Solar,2030,7,1,2,-1.3098
674,AT_Solar,2030,7,3,4,-1.3098
675,AT_Solar,2030,7,5,6,-1.3098
676,AT_Solar,2030,7,7,8,-1.3098
677,AT_Solar,2030,7,9,10,-2.442
678,AT_Solar,2030,7,11,12,-1.3098
679,AT_Solar,2030,7,13,14,-1.3098
680,AT_Solar,2030,7,15,16,-1.3098
681,AT_Solar,2030,7,17,18,-2.442
682,AT_Solar,2030,7,19,20,-3.7739999999999996
683,AT_Solar,2030,7,21,22,-1.3098
684,AT_Solar,2030,7,23,24,-1.3098
685,AT_Solar,2030,8,1,2,-1.0974
686,AT_Solar,2030,8,3,4,-1.0974
687,AT_Solar,2030,8,5,6,-1.0974
688,AT_Solar,2030,8,7,8,-1.0974
689,AT_Solar,2030,8,9,10,-1.0974
690,AT_Solar,2030,8,11,12,-1.0974
691,AT_Solar,2030,8,13,14,-1.0974
692,AT_Solar,2030,8,15,16,-1.0974
693,AT_Solar,2030,8,17,18,-1.0974
694,AT_Solar,2030,8,19,20,-1.0974
695,AT_Solar,2030,8,21,22,-0.8529999999999999
696,AT_Solar,2030,8,23,24,-0.124
697,AT_Solar,2030,9,1,2,-0.17200000000000001
698,AT_Solar,2030,9,3,4,-0.17200000000000001
699,AT_Solar,2030,9,5,6,-0.17200000000000001
700,AT_Solar,2030,9,7,8,-1.5222
701,AT_Solar,2030,9,9,10,-6.4281657056663395
702,AT_Solar,2030,9,11,12,-1.5222
703,AT_Solar,2030,9,13,14,-0.17200000000000001
704,AT_Solar,2030,9,15,16,-0.17200000000000001
705,AT_Solar,2030,9,17,18,-1.5222
706,AT_Solar,2030,9,19,20,-1.5222
707,AT_Solar,2030,9,21,22,-1.5222
708,AT_Solar,2030,9,23,24,-1.5222
709,AT_Solar,2030,10,1,2,-1.6284
710,AT_Solar,2030,10,3,4,-1.6284
711,AT_Solar,2030,10,5,6,-4.691999999999999
712,AT_Solar,2030,10,7,8,-4.691999999999999
713,AT_Solar,2030,10,9,10,-4.691999999999999
714,AT_Solar,2030,10,11,12,-4.691999999999999
715,AT_Solar,2030,10,13,14,-3.036
716,AT_Solar,2030,10,15,16,-3.036
717,AT_Solar,2030,10,17,18,-4.691999999999999
718,AT_Solar,2030,10,19,20,-4.691999999999999
719,AT_Solar,2030,10,21,22,-1.6284
720,AT_Solar,2030,10,23,24,-1.6284
721,AT_Wind_Offshore,2030,1,1,2,-1.6536000000000002
722,AT_Wind_Offshore,2030,1,3,4,-1.6536000000000002
723,AT_Wind_Offshore,2030,1,5,6,-3.2754000000000003
724,AT_Wind_Offshore,2030,1,7,8,-3.2754000000000003
725,AT_Wind_Offshore,2030,1,9,10,-3.2754000000000003
726,AT_Wind_Offshore,2030,1,11,12,-3.2754000000000003
727,AT_Wind_Offshore,2030,1,13,14,-1.6536000000000002
728,AT_Wind_Offshore,2030,1,15,16,-1.6536000000000002
729,AT_Wind_Offshore,2030,1,17,18,-3.2754000000000003
730,AT_Wind_Offshore,2030,1,19,20,-3.2754000000000003
731,AT_Wind_Offshore,2030,1,21,22,-1.6536000000000002
732,AT_Wind_Offshore,2030,1,23,24,-1.6536000000000002
733,AT_Wind_Offshore,2030,2,1,2,0.0
734,AT_Wind_Offshore,2030,2,3,4,0.0
735,AT_Wind_Offshore,2030,2,5,6,0.0
736,AT_Wind_Offshore,2030,2,7,8,-1.0296
737,AT_Wind_Offshore,2030,2,9,10,-1.0296
738,AT_Wind_Offshore,2030,2,11,12,-0.4590000000000007
739,AT_Wind_Offshore,2030,2,13,14,0.0
740,AT_Wind_Offshore,2030,2,15,16,0.0
741,AT_Wind_Offshore,2030,2,17,18,0.0
742,AT_Wind_Offshore,2030,2,19,20,0.0
