id,asset,year,rep_period,time_block_start,time_block_end,solution
845,DE_Battery,2030,6,5,5,1407.9183220173825
846,DE_Battery,2030,6,6,6,0.0
847,DE_Battery,2030,6,7,7,0.0
848,DE_Battery,2030,6,8,8,1407.9183220173825
849,DE_Battery,2030,6,9,9,1407.9183220173825
850,DE_Battery,2030,6,10,10,1407.9183220173825
851,DE_Battery,2030,6,11,11,1407.9183220173825
852,DE_Battery,2030,6,12,12,1407.9183220173825
853,DE_Battery,2030,6,13,13,0.0
854,DE_Battery,2030,6,14,14,0.0
855,DE_Battery,2030,6,15,15,1407.9183220173825
856,DE_Battery,2030,6,16,16,0.0
857,DE_Battery,2030,6,17,17,0.0
858,DE_Battery,2030,6,18,18,0.0
859,DE_Battery,2030,6,19,19,0.0
860,DE_Battery,2030,6,20,20,0.0
861,DE_Battery,2030,6,21,21,0.0
862,DE_Battery,2030,6,22,22,0.0
863,DE_Battery,2030,6,23,23,0.0
864,DE_Battery,2030,6,24,24,0.0
865,DE_Battery,2030,7,1,1,1407.9183220173825
866,DE_Battery,2030,7,2,2,0.0
867,DE_Battery,2030,7,3,3,1407.9183220173825
868,DE_Battery,2030,7,4,4,1428.3562025324034
869,DE_Battery,2030,7,5,5,1428.3562025324034
870,DE_Battery,2030,7,6,6,1428.3562025324034
871,DE_Battery,2030,7,7,7,20.43788051502088
872,DE_Battery,2030,7,8,8,1407.9183220173825
873,DE_Battery,2030,7,9,9,0.0
874,DE_Battery,2030,7,10,10,0.0
875,DE_Battery,2030,7,11,11,0.0
876,DE_Battery,2030,7,12,12,0.0
877,DE_Battery,2030,7,13,13,0.0
878,DE_Battery,2030,7,14,14,0.0
879,DE_Battery,2030,7,15,15,20.43788051502088
880,DE_Battery,2030,7,16,16,1428.3562025324034
881,DE_Battery,2030,7,17,17,1407.9183220173825
882,DE_Battery,2030,7,18,18,1407.9183220173825
883,DE_Battery,2030,7,19,19,0.0
884,DE_Battery,2030,7,20,20,0.0
885,DE_Battery,2030,7,21,21,0.0
886,DE_Battery,2030,7,22,22,0.0
887,DE_Battery,2030,7,23,23,0.0
888,DE_Battery,2030,7,24,24,0.0
889,DE_Battery,2030,8,1,1,0.0
890,DE_Battery,2030,8,2,2,0.0
891,DE_Battery,2030,8,3,3,0.0
892,DE_Battery,2030,8,4,4,436.2629814671004
893,DE_Battery,2030,8,5,5,436.2629814671004
894,DE_Battery,2030,8,6,6,436.2629814671004
895,DE_Battery,2030,8,7,7,0.0
896,DE_Battery,2030,8,8,8,0.0
897,DE_Battery,2030,8,9,9,0.0
898,DE_Battery,2030,8,10,10,0.0
899,DE_Battery,2030,8,11,11,0.0
900,DE_Battery,2030,8,12,12,0.0
901,DE_Battery,2030,8,13,13,0.0
902,DE_Battery,2030,8,14,14,0.0
903,DE_Battery,2030,8,15,15,0.0
904,DE_Battery,2030,8,16,16,0.0
905,DE_Battery,2030,8,17,17,1407.9183220173825
906,DE_Battery,2030,8,18,18,1428.3562025324034
907,DE_Battery,2030,8,19,19,20.43788051502088
908,DE_Battery,2030,8,20,20,0.0
909,DE_Battery,2030,8,21,21,0.0
910,DE_Battery,2030,8,22,22,0.0
911,DE_Battery,2030,8,23,23,0.0
912,DE_Battery,2030,8,24,24,0.0
913,DE_Battery,2030,9,1,1,0.0
914,DE_Battery,2030,9,2,2,0.0
915,DE_Battery,2030,9,3,3,0.0
916,DE_Battery,2030,9,4,4,0.0
917,DE_Battery,2030,9,5,5,0.0
918,DE_Battery,2030,9,6,6,1397.3907488256937
919,DE_Battery,2030,9,7,7,1397.3907488256937
920,DE_Battery,2030,9,8,8,1397.3907488256937
921,DE_Battery,2030,9,9,9,1397.3907488256937
922,DE_Battery,2030,9,10,10,496.049260950133
923,DE_Battery,2030,9,11,11,1407.9183220173825
924,DE_Battery,2030,9,12,12,0.0
925,DE_Battery,2030,9,13,13,0.0
926,DE_Battery,2030,9,14,14,0.0
927,DE_Battery,2030,9,15,15,0.0
928,DE_Battery,2030,9,16,16,1407.9183220173825
929,DE_Battery,2030,9,17,17,1428.3562025324034
930,DE_Battery,2030,9,18,18,1428.3562025324034
931,DE_Battery,2030,9,19,19,20.43788051502088
932,DE_Battery,2030,9,20,20,0.0
933,DE_Battery,2030,9,21,21,0.0
934,DE_Battery,2030,9,22,22,0.0
935,DE_Battery,2030,9,23,23,0.0
936,DE_Battery,2030,9,24,24,0.0
937,DE_Battery,2030,10,1,1,444.2300152204889
938,DE_Battery,2030,10,2,2,784.0086613419255
939,DE_Battery,2030,10,3,3,20.43788051502088
940,DE_Battery,2030,10,4,4,1428.3562025324034
941,DE_Battery,2030,10,5,5,1428.3562025324034
942,DE_Battery,2030,10,6,6,1428.3562025324034
943,DE_Battery,2030,10,7,7,855.3916270846495
944,DE_Battery,2030,10,8,8,855.3916270846495
945,DE_Battery,2030,10,9,9,0.0
946,DE_Battery,2030,10,10,10,0.0
947,DE_Battery,2030,10,11,11,1407.9183220173825
948,DE_Battery,2030,10,12,12,780.8955527684091
949,DE_Battery,2030,10,13,13,1202.6347445129502
950,DE_Battery,2030,10,14,14,1428.3562025324034
951,DE_Battery,2030,10,15,15,891.0206827406844
952,DE_Battery,2030,10,16,16,1428.3562025324034
953,DE_Battery,2030,10,17,17,1407.9183220173825
954,DE_Battery,2030,10,18,18,0.0
955,DE_Battery,2030,10,19,19,0.0
956,DE_Battery,2030,10,20,20,0.0
957,DE_Battery,2030,10,21,21,0.0
958,DE_Battery,2030,10,22,22,0.0
959,DE_Battery,2030,10,23,23,0.0
960,DE_Battery,2030,10,24,24,0.0
961,FR_Battery,2030,1,1,1,0.0
962,FR_Battery,2030,1,2,2,0.0
963,FR_Battery,2030,1,3,3,1341.5559937653607
964,FR_Battery,2030,1,4,4,4866.380594091025
965,FR_Battery,2030,1,5,5,4866.380594091025
966,FR_Battery,2030,1,6,6,3729.8101279131834
967,FR_Battery,2030,1,7,7,4866.380594091025
968,FR_Battery,2030,1,8,8,4866.380594091025
969,FR_Battery,2030,1,9,9,4260.026660434408
970,FR_Battery,2030,1,10,10,1824.7253633389
971,FR_Battery,2030,1,11,11,2250.6886078567886
972,FR_Battery,2030,1,12,12,0.0
973,FR_Battery,2030,1,13,13,0.0
974,FR_Battery,2030,1,14,14,0.0
975,FR_Battery,2030,1,15,15,551.0089794097366
