id,asset,year,rep_period,time_block_start,time_block_end,dual_max_output_flows_limit_simple_method
268,AT_CCGT,2030,2,4,4,0.0
269,AT_CCGT,2030,2,5,5,0.0
270,AT_CCGT,2030,2,6,6,0.0
271,AT_CCGT,2030,2,7,7,0.0
272,AT_CCGT,2030,2,8,8,0.0
273,AT_CCGT,2030,2,9,9,0.0
274,AT_CCGT,2030,2,10,10,0.0
275,AT_CCGT,2030,2,11,11,0.0
276,AT_CCGT,2030,2,12,12,0.0
277,AT_CCGT,2030,2,13,13,0.0
278,AT_CCGT,2030,2,14,14,0.0
279,AT_CCGT,2030,2,15,15,0.0
280,AT_CCGT,2030,2,16,16,0.0
281,AT_CCGT,2030,2,17,17,0.0
282,AT_CCGT,2030,2,18,18,0.0
283,AT_CCGT,2030,2,19,19,0.0
284,AT_CCGT,2030,2,20,20,0.0
285,AT_CCGT,2030,2,21,21,0.0
286,AT_CCGT,2030,2,22,22,0.0
287,AT_CCGT,2030,2,23,23,0.0
288,AT_CCGT,2030,2,24,24,0.0
289,AT_CCGT,2030,3,1,1,0.0
290,AT_CCGT,2030,3,2,2,0.0
291,AT_CCGT,2030,3,3,3,0.0
292,AT_CCGT,2030,3,4,4,0.0
293,AT_CCGT,2030,3,5,5,0.0
294,AT_CCGT,2030,3,6,6,0.0
295,AT_CCGT,2030,3,7,7,0.0
296,AT_CCGT,2030,3,8,8,0.0
297,AT_CCGT,2030,3,9,9,0.0
298,AT_CCGT,2030,3,10,10,0.0
299,AT_CCGT,2030,3,11,11,0.0
300,AT_CCGT,2030,3,12,12,0.0
301,AT_CCGT,2030,3,13,13,0.0
302,AT_CCGT,2030,3,14,14,0.0
303,AT_CCGT,2030,3,15,15,0.0
304,AT_CCGT,2030,3,16,16,-0.5219999999999998
305,AT_CCGT,2030,3,17,17,-4.355765705666335
306,AT_CCGT,2030,3,18,18,-16.941031411332673
307,AT_CCGT,2030,3,19,19,-4.355765705666335
308,AT_CCGT,2030,3,20,20,-0.5219999999999998
309,AT_CCGT,2030,3,21,21,-0.5219999999999998
310,AT_CCGT,2030,3,22,22,-0.5219999999999998
311,AT_CCGT,2030,3,23,23,0.0
312,AT_CCGT,2030,3,24,24,0.0
313,AT_CCGT,2030,4,1,1,0.0
314,AT_CCGT,2030,4,2,2,0.0
315,AT_CCGT,2030,4,3,3,0.0
316,AT_CCGT,2030,4,4,4,0.0
317,AT_CCGT,2030,4,5,5,0.0
318,AT_CCGT,2030,4,6,6,0.0
319,AT_CCGT,2030,4,7,7,0.0
320,AT_CCGT,2030,4,8,8,0.0
321,AT_CCGT,2030,4,9,9,0.0
322,AT_CCGT,2030,4,10,10,0.0
323,AT_CCGT,2030,4,11,11,0.0
324,AT_CCGT,2030,4,12,12,0.0
325,AT_CCGT,2030,4,13,13,0.0
326,AT_CCGT,2030,4,14,14,0.0
327,AT_CCGT,2030,4,15,15,0.0
328,AT_CCGT,2030,4,16,16,0.0
329,AT_CCGT,2030,4,17,17,0.0
330,AT_CCGT,2030,4,18,18,0.0
331,AT_CCGT,2030,4,19,19,0.0
332,AT_CCGT,2030,4,20,20,0.0
333,AT_CCGT,2030,4,21,21,0.0
334,AT_CCGT,2030,4,22,22,0.0
335,AT_CCGT,2030,4,23,23,0.0
336,AT_CCGT,2030,4,24,24,0.0
337,AT_CCGT,2030,5,1,1,0.0
338,AT_CCGT,2030,5,2,2,0.0
339,AT_CCGT,2030,5,3,3,0.0
340,AT_CCGT,2030,5,4,4,0.0
341,AT_CCGT,2030,5,5,5,0.0
342,AT_CCGT,2030,5,6,6,0.0
343,AT_CCGT,2030,5,7,7,0.0
344,AT_CCGT,2030,5,8,8,0.0
345,AT_CCGT,2030,5,9,9,0.0
346,AT_CCGT,2030,5,10,10,0.0
347,AT_CCGT,2030,5,11,11,0.0
348,AT_CCGT,2030,5,12,12,0.0
349,AT_CCGT,2030,5,13,13,0.0
350,AT_CCGT,2030,5,14,14,0.0
351,AT_CCGT,2030,5,15,15,0.0
352,AT_CCGT,2030,5,16,16,0.0
353,AT_CCGT,2030,5,17,17,0.0
354,AT_CCGT,2030,5,18,18,0.0
355,AT_CCGT,2030,5,19,19,0.0
356,AT_CCGT,2030,5,20,20,0.0
357,AT_CCGT,2030,5,21,21,0.0
358,AT_CCGT,2030,5,22,22,0.0
359,AT_CCGT,2030,5,23,23,0.0
360,AT_CCGT,2030,5,24,24,0.0
361,AT_CCGT,2030,6,1,1,0.0
362,AT_CCGT,2030,6,2,2,0.0
363,AT_CCGT,2030,6,3,3,0.0
364,AT_CCGT,2030,6,4,4,0.0
365,AT_CCGT,2030,6,5,5,0.0
366,AT_CCGT,2030,6,6,6,0.0
367,AT_CCGT,2030,6,7,7,0.0
368,AT_CCGT,2030,6,8,8,0.0
369,AT_CCGT,2030,6,9,9,0.0
370,AT_CCGT,2030,6,10,10,0.0
371,AT_CCGT,2030,6,11,11,0.0
372,AT_CCGT,2030,6,12,12,0.0
373,AT_CCGT,2030,6,13,13,0.0
374,AT_CCGT,2030,6,14,14,0.0
375,AT_CCGT,2030,6,15,15,0.0
376,AT_CCGT,2030,6,16,16,0.0
377,AT_CCGT,2030,6,17,17,0.0
378,AT_CCGT,2030,6,18,18,0.0
379,AT_CCGT,2030,6,19,19,0.0
380,AT_CCGT,2030,6,20,20,0.0
381,AT_CCGT,2030,6,21,21,0.0
382,AT_CCGT,2030,6,22,22,0.0
383,AT_CCGT,2030,6,23,23,0.0
384,AT_CCGT,2030,6,24,24,0.0
385,AT_CCGT,2030,7,1,1,0.0
386,AT_CCGT,2030,7,2,2,0.0
387,AT_CCGT,2030,7,3,3,0.0
388,AT_CCGT,2030,7,4,4,0.0
389,AT_CCGT,2030,7,5,5,0.0
390,AT_CCGT,2030,7,6,6,0.0
391,AT_CCGT,2030,7,7,7,0.0
392,AT_CCGT,2030,7,8,8,-0.6659999999999997
393,AT_CCGT,2030,7,9,9,-0.6659999999999997
394,AT_CCGT,2030,7,10,10,-0.6659999999999997
395,AT_CCGT,2030,7,11,11,0.0
396,AT_CCGT,2030,7,12,12,0.0
397,AT_CCGT,2030,7,13,13,0.0
398,AT_CCGT,2030,7,14,14,0.0
399,AT_CCGT,2030,7,15,15,0.0
400,AT_CCGT,2030,7,16,16,0.0
401,AT_CCGT,2030,7,17,17,0.0
402,AT_CCGT,2030,7,18,18,-0.6659999999999997
403,AT_CCGT,2030,7,19,19,-0.6659999999999997
404,AT_CCGT,2030,7,20,20,-0.6659999999999997
405,AT_CCGT,2030,7,21,21,0.0
406,AT_CCGT,2030,7,22,22,0.0
407,AT_CCGT,2030,7,23,23,0.0
408,AT_CCGT,2030,7,24,24,0.0
409,AT_CCGT,2030,8,1,1,0.0
410,AT_CCGT,2030,8,2,2,0.0
411,AT_CCGT,2030,8,3,3,0.0
412,AT_CCGT,2030,8,4,4,0.0
413,AT_CCGT,2030,8,5,5,0.0
414,AT_CCGT,2030,8,6,6,0.0
415,AT_CCGT,2030,8,7,7,0.0
416,AT_CCGT,2030,8,8,8,0.0
417,AT_CCGT,2030,8,9,9,0.0
418,AT_CCGT,2030,8,10,10,0.0
419,AT_CCGT,2030,8,11,11,0.0
420,AT_CCGT,2030,8,12,12,0.0
421,AT_CCGT,2030,8,13,13,0.0
422,AT_CCGT,2030,8,14,14,0.0
423,AT_CCGT,2030,8,15,15,0.0
424,AT_CCGT,2030,8,16,16,0.0
425,AT_CCGT,2030,8,17,17,0.0
426,AT_CCGT,2030,8,18,18,0.0
427,AT_CCGT,2030,8,19,19,0.0
428,AT_CCGT,2030,8,20,20,0.0
429,AT_CCGT,2030,8,21,21,0.0
430,AT_CCGT,2030,8,22,22,0.0
431,AT_CCGT,2030,8,23,23,0.0
432,AT_CCGT,2030,8,24,24,0.0
433,AT_CCGT,2030,9,1,1,0.0
434,AT_CCGT,2030,9,2,2,0.0
435,AT_CCGT,2030,9,3,3,0.0
436,AT_CCGT,2030,9,4,4,0.0
437,AT_CCGT,2030,9,5,5,0.0
438,AT_CCGT,2030,9,6,6,0.0
439,AT_CCGT,2030,9,7,7,0.0
440,AT_CCGT,2030,9,8,8,0.0
441,AT_CCGT,2030,9,9,9,0.0
442,AT_CCGT,2030,9,10,10,0.0
443,AT_CCGT,2030,9,11,11,0.0
444,AT_CCGT,2030,9,12,12,0.0
445,AT_CCGT,2030,9,13,13,0.0
446,AT_CCGT,2030,9,14,14,0.0
447,AT_CCGT,2030,9,15,15,0.0
448,AT_CCGT,2030,9,16,16,0.0
449,AT_CCGT,2030,9,17,17,0.0
450,AT_CCGT,2030,9,18,18,0.0
451,AT_CCGT,2030,9,19,19,0.0
452,AT_CCGT,2030,9,20,20,0.0
453,AT_CCGT,2030,9,21,21,0.0
454,AT_CCGT,2030,9,22,22,0.0
455,AT_CCGT,2030,9,23,23,0.0
456,AT_CCGT,2030,9,24,24,0.0
457,AT_CCGT,2030,10,1,1,0.0
458,AT_CCGT,2030,10,2,2,0.0
459,AT_CCGT,2030,10,3,3,0.0
460,AT_CCGT,2030,10,4,4,0.0
461,AT_CCGT,2030,10,5,5,0.0
462,AT_CCGT,2030,10,6,6,0.0
463,AT_CCGT,2030,10,7,7,-0.8279999999999996
464,AT_CCGT,2030,10,8,8,-0.8279999999999996
465,AT_CCGT,2030,10,9,9,-0.8279999999999996
466,AT_CCGT,2030,10,10,10,0.0
467,AT_CCGT,2030,10,11,11,0.0
468,AT_CCGT,2030,10,12,12,0.0
469,AT_CCGT,2030,10,13,13,0.0
470,AT_CCGT,2030,10,14,14,0.0
471,AT_CCGT,2030,10,15,15,0.0
472,AT_CCGT,2030,10,16,16,0.0
473,AT_CCGT,2030,10,17,17,-0.8279999999999996
474,AT_CCGT,2030,10,18,18,-0.8279999999999996
475,AT_CCGT,2030,10,19,19,-0.8279999999999996
476,AT_CCGT,2030,10,20,20,-0.8279999999999996
477,AT_CCGT,2030,10,21,21,0.0
478,AT_CCGT,2030,10,22,22,0.0
479,AT_CCGT,2030,10,23,23,0.0
480,AT_CCGT,2030,10,24,24,0.0
481,AT_Coal,2030,1,1,1,0.0
482,AT_Coal,2030,1,2,2,0.0
483,AT_Coal,2030,1,3,3,0.0
484,AT_Coal,2030,1,4,4,0.0
485,AT_Coal,2030,1,5,5,0.0
486,AT_Coal,2030,1,6,6,-0.8109000000000001
487,AT_Coal,2030,1,7,7,-0.8109000000000001
488,AT_Coal,2030,1,8,8,-0.8109000000000001
489,AT_Coal,2030,1,9,9,-0.8109000000000001
