id,asset,year,rep_period,time_block_start,time_block_end,dual_balance_storage_rep_period,dual_max_storage_level_rep_period_limit,dual_min_storage_level_rep_period_limit
80,BE_Battery,2030,4,5,8,-0.046,0.0,0.0
81,BE_Battery,2030,4,9,12,-0.046000000000000006,6.938893903907228e-18,0.0
82,BE_Battery,2030,4,13,16,-0.046,0.0,0.0
83,BE_Battery,2030,4,17,20,-0.046000000000000006,-0.36110000000000003,0.0
84,BE_Battery,2030,4,21,24,-0.4071,0.0,0.0
85,BE_Battery,2030,5,1,4,-0.104,0.0,0.0
86,BE_Battery,2030,5,5,8,-0.10400000000000001,0.0,0.0
87,BE_Battery,2030,5,9,12,-0.104,0.0,0.0
88,BE_Battery,2030,5,13,16,-0.104,0.0,0.0
89,BE_Battery,2030,5,17,20,-0.10400000000000001,0.0,0.0
90,BE_Battery,2030,5,21,24,-0.104,0.0,0.0
91,BE_Battery,2030,6,1,4,-0.3186,0.0,0.0
92,BE_Battery,2030,6,5,8,-0.3186,0.0,0.0
93,BE_Battery,2030,6,9,12,-0.3186,0.0,0.0
94,BE_Battery,2030,6,13,16,-0.3186,0.0,0.0
95,BE_Battery,2030,6,17,20,-0.3186,0.0,0.0
96,BE_Battery,2030,6,21,24,-0.3186,0.0,0.0
97,BE_Battery,2030,7,1,4,-0.6549,-0.8491500000000001,0.0
98,BE_Battery,2030,7,5,8,-1.50405,-1.1488499999999993,0.0
99,BE_Battery,2030,7,9,12,-2.6528999999999994,0.0,0.0
100,BE_Battery,2030,7,13,16,-1.221,-2.819882852833169,0.0
101,BE_Battery,2030,7,17,20,-4.040882852833169,0.0,0.0
102,BE_Battery,2030,7,21,24,-0.6549,0.0,0.0
103,BE_Battery,2030,8,1,4,-0.062,0.0,0.0
104,BE_Battery,2030,8,5,8,-0.062,0.0,0.0
105,BE_Battery,2030,8,9,12,-0.062,0.0,0.0
106,BE_Battery,2030,8,13,16,-0.062,0.0,0.0
107,BE_Battery,2030,8,17,20,-0.062,0.0,0.0
108,BE_Battery,2030,8,21,24,-0.062,0.0,0.0
109,BE_Battery,2030,9,1,4,-0.086,-1.3877787807814457e-17,0.0
110,BE_Battery,2030,9,5,8,-0.08600000000000001,1.3877787807814457e-17,0.0
111,BE_Battery,2030,9,9,12,-0.086,0.0,0.0
112,BE_Battery,2030,9,13,16,-0.08600000000000001,-0.6751000000000001,0.0
