id,asset,year,rep_period,time_block_start,time_block_end,dual_max_output_flows_limit_simple_method
2100,DE_Coal,2030,3,10,12,0.0
2101,DE_Coal,2030,3,13,15,0.0
2102,DE_Coal,2030,3,16,18,0.0
2103,DE_Coal,2030,3,19,21,0.0
2104,DE_Coal,2030,3,22,24,0.0
2105,DE_Coal,2030,4,1,3,0.0
2106,DE_Coal,2030,4,4,6,0.0
2107,DE_Coal,2030,4,7,9,0.0
2108,DE_Coal,2030,4,10,12,0.0
2109,DE_Coal,2030,4,13,15,0.0
2110,DE_Coal,2030,4,16,18,0.0
2111,DE_Coal,2030,4,19,21,0.0
2112,DE_Coal,2030,4,22,24,0.0
2113,DE_Coal,2030,5,1,3,0.0
2114,DE_Coal,2030,5,4,6,0.0
2115,DE_Coal,2030,5,7,9,0.0
2116,DE_Coal,2030,5,10,12,0.0
2117,DE_Coal,2030,5,13,15,0.0
2118,DE_Coal,2030,5,16,18,0.0
2119,DE_Coal,2030,5,19,21,0.0
2120,DE_Coal,2030,5,22,24,0.0
2121,DE_Coal,2030,6,1,3,0.0
2122,DE_Coal,2030,6,4,6,0.0
2123,DE_Coal,2030,6,7,9,0.0
2124,DE_Coal,2030,6,10,12,0.0
2125,DE_Coal,2030,6,13,15,0.0
2126,DE_Coal,2030,6,16,18,0.0
2127,DE_Coal,2030,6,19,21,0.0
2128,DE_Coal,2030,6,22,24,0.0
2129,DE_Coal,2030,7,1,3,0.0
2130,DE_Coal,2030,7,4,6,-1.6983000000000001
2131,DE_Coal,2030,7,7,9,-3.6962999999999995
2132,DE_Coal,2030,7,10,12,-1.6983000000000001
2133,DE_Coal,2030,7,13,15,0.0
2134,DE_Coal,2030,7,16,18,-3.6962999999999995
2135,DE_Coal,2030,7,19,21,-7.068000000000003
2136,DE_Coal,2030,7,22,24,0.0
2137,DE_Coal,2030,8,1,3,0.0
2138,DE_Coal,2030,8,4,6,0.0
2139,DE_Coal,2030,8,7,9,0.0
2140,DE_Coal,2030,8,10,12,0.0
2141,DE_Coal,2030,8,13,15,0.0
2142,DE_Coal,2030,8,16,18,0.0
2143,DE_Coal,2030,8,19,21,0.0
2144,DE_Coal,2030,8,22,24,0.0
2145,DE_Coal,2030,9,1,3,0.0
2146,DE_Coal,2030,9,4,6,0.0
2147,DE_Coal,2030,9,7,9,0.0
2148,DE_Coal,2030,9,10,12,0.0
2149,DE_Coal,2030,9,13,15,0.0
2150,DE_Coal,2030,9,16,18,0.0
2151,DE_Coal,2030,9,19,21,0.0
2152,DE_Coal,2030,9,22,24,0.0
2153,DE_Coal,2030,10,1,3,-2.1114
2154,DE_Coal,2030,10,4,6,-2.1114
2155,DE_Coal,2030,10,7,9,-4.5954
2156,DE_Coal,2030,10,10,12,-4.595399999999998
2157,DE_Coal,2030,10,13,15,-2.1114
2158,DE_Coal,2030,10,16,18,-4.5954
2159,DE_Coal,2030,10,19,21,-4.5954
2160,DE_Coal,2030,10,22,24,-2.1114
2161,DE_Nuclear,2030,1,1,3,-1.4787000000000003
2162,DE_Nuclear,2030,1,4,6,-1.4787000000000003
2163,DE_Nuclear,2030,1,7,9,-3.9114
2164,DE_Nuclear,2030,1,10,12,-3.9114
2165,DE_Nuclear,2030,1,13,15,-1.4787000000000003
2166,DE_Nuclear,2030,1,16,18,-1.4787000000000003
2167,DE_Nuclear,2030,1,19,21,-3.9114
2168,DE_Nuclear,2030,1,22,24,-1.4787000000000003
2169,DE_Nuclear,2030,2,1,3,0.0
2170,DE_Nuclear,2030,2,4,6,-0.9207000000000001
2171,DE_Nuclear,2030,2,7,9,-0.9207000000000001
2172,DE_Nuclear,2030,2,10,12,-0.9207000000000001
2173,DE_Nuclear,2030,2,13,15,-0.9207000000000001
2174,DE_Nuclear,2030,2,16,18,-0.9207000000000001
2175,DE_Nuclear,2030,2,19,21,-0.9207000000000001
2176,DE_Nuclear,2030,2,22,24,-0.9207000000000001
2177,DE_Nuclear,2030,3,1,3,0.0
2178,DE_Nuclear,2030,3,4,6,0.0
2179,DE_Nuclear,2030,3,7,9,0.0
2180,DE_Nuclear,2030,3,10,12,-0.8091
2181,DE_Nuclear,2030,3,13,15,-0.8091
2182,DE_Nuclear,2030,3,16,18,-0.8091
2183,DE_Nuclear,2030,3,19,21,-0.8091
2184,DE_Nuclear,2030,3,22,24,0.0
2185,DE_Nuclear,2030,4,1,3,-0.6417
2186,DE_Nuclear,2030,4,4,6,-0.6417
2187,DE_Nuclear,2030,4,7,9,-0.6417
2188,DE_Nuclear,2030,4,10,12,-0.6417
2189,DE_Nuclear,2030,4,13,15,-0.6417
2190,DE_Nuclear,2030,4,16,18,-0.6417
2191,DE_Nuclear,2030,4,19,21,-0.6417
2192,DE_Nuclear,2030,4,22,24,-0.6417
2193,DE_Nuclear,2030,5,1,3,0.0
2194,DE_Nuclear,2030,5,4,6,0.0
2195,DE_Nuclear,2030,5,7,9,0.0
2196,DE_Nuclear,2030,5,10,12,0.0
2197,DE_Nuclear,2030,5,13,15,0.0
2198,DE_Nuclear,2030,5,16,18,0.0
2199,DE_Nuclear,2030,5,19,21,0.0
2200,DE_Nuclear,2030,5,22,24,0.0
2201,DE_Nuclear,2030,6,1,3,-0.5022
2202,DE_Nuclear,2030,6,4,6,-0.5022
2203,DE_Nuclear,2030,6,7,9,-0.5022
2204,DE_Nuclear,2030,6,10,12,-0.5022
2205,DE_Nuclear,2030,6,13,15,-0.5022
2206,DE_Nuclear,2030,6,16,18,-0.5022
2207,DE_Nuclear,2030,6,19,21,-0.5022
2208,DE_Nuclear,2030,6,22,24,-0.5022
2209,DE_Nuclear,2030,7,1,3,-1.0323000000000002
2210,DE_Nuclear,2030,7,4,6,-2.7306000000000004
2211,DE_Nuclear,2030,7,7,9,-4.7286
2212,DE_Nuclear,2030,7,10,12,-2.7306000000000004
2213,DE_Nuclear,2030,7,13,15,-1.0323000000000002
2214,DE_Nuclear,2030,7,16,18,-4.7286
2215,DE_Nuclear,2030,7,19,21,-8.100300000000004
2216,DE_Nuclear,2030,7,22,24,-1.0323000000000002
2217,DE_Nuclear,2030,8,1,3,0.0
2218,DE_Nuclear,2030,8,4,6,0.0
2219,DE_Nuclear,2030,8,7,9,0.0
2220,DE_Nuclear,2030,8,10,12,0.0
2221,DE_Nuclear,2030,8,13,15,0.0
2222,DE_Nuclear,2030,8,16,18,0.0
2223,DE_Nuclear,2030,8,19,21,-0.8649000000000001
2224,DE_Nuclear,2030,8,22,24,0.0
2225,DE_Nuclear,2030,9,1,3,0.0
2226,DE_Nuclear,2030,9,4,6,0.0
2227,DE_Nuclear,2030,9,7,9,-1.1997000000000002
2228,DE_Nuclear,2030,9,10,12,0.0
2229,DE_Nuclear,2030,9,13,15,0.0
2230,DE_Nuclear,2030,9,16,18,0.0
2231,DE_Nuclear,2030,9,19,21,-1.1997000000000002
2232,DE_Nuclear,2030,9,22,24,-1.1997000000000002
2233,DE_Nuclear,2030,10,1,3,-3.3948
2234,DE_Nuclear,2030,10,4,6,-3.3948
2235,DE_Nuclear,2030,10,7,9,-5.878799999999999
