id,id_1,asset,year,rep_period,time_block_start,time_block_end,dual_sd_ramp_vars_flow_diff
1,1,AT_CCGT,2030,1,1,3,0.0
2,2,AT_CCGT,2030,1,4,6,0.0
3,3,AT_CCGT,2030,1,7,9,0.0
4,4,AT_CCGT,2030,1,10,12,0.0
5,5,AT_CCGT,2030,1,13,15,0.0
6,6,AT_CCGT,2030,1,16,18,0.0
7,7,AT_CCGT,2030,1,19,21,0.0
8,8,AT_CCGT,2030,1,22,24,0.0
9,9,AT_CCGT,2030,2,1,3,0.0
10,10,AT_CCGT,2030,2,4,6,0.0
11,11,AT_CCGT,2030,2,7,9,0.0
12,12,AT_CCGT,2030,2,10,12,0.0
13,13,AT_CCGT,2030,2,13,15,0.0
14,14,AT_CCGT,2030,2,16,18,0.0
15,15,AT_CCGT,2030,2,19,21,0.0
16,16,AT_CCGT,2030,2,22,24,0.0
17,17,AT_CCGT,2030,3,1,3,0.0
18,18,AT_CCGT,2030,3,4,6,0.0
19,19,AT_CCGT,2030,3,7,9,0.0
20,20,AT_CCGT,2030,3,10,12,0.0
21,21,AT_CCGT,2030,3,13,15,0.0
22,22,AT_CCGT,2030,3,16,18,0.0
23,23,AT_CCGT,2030,3,19,21,0.0
24,24,AT_CCGT,2030,3,22,24,0.0
25,25,AT_CCGT,2030,4,1,3,0.0
26,26,AT_CCGT,2030,4,4,6,0.0
27,27,AT_CCGT,2030,4,7,9,0.0
28,28,AT_CCGT,2030,4,10,12,0.0
29,29,AT_CCGT,2030,4,13,15,0.0
30,30,AT_CCGT,2030,4,16,18,0.0
31,31,AT_CCGT,2030,4,19,21,0.0
32,32,AT_CCGT,2030,4,22,24,0.0
33,33,AT_CCGT,2030,5,1,3,0.0
34,34,AT_CCGT,2030,5,4,6,0.0
35,35,AT_CCGT,2030,5,7,9,0.0
36,36,AT_CCGT,2030,5,10,12,0.0
37,37,AT_CCGT,2030,5,13,15,0.0
38,38,AT_CCGT,2030,5,16,18,0.0
39,39,AT_CCGT,2030,5,19,21,0.0
40,40,AT_CCGT,2030,5,22,24,0.0
41,41,AT_CCGT,2030,6,1,3,0.0
42,42,AT_CCGT,2030,6,4,6,0.0
43,43,AT_CCGT,2030,6,7,9,0.0
44,44,AT_CCGT,2030,6,10,12,0.0
45,45,AT_CCGT,2030,6,13,15,0.0
46,46,AT_CCGT,2030,6,16,18,0.0
47,47,AT_CCGT,2030,6,19,21,0.0
48,48,AT_CCGT,2030,6,22,24,0.0
49,49,AT_CCGT,2030,7,1,3,0.0
50,50,AT_CCGT,2030,7,4,6,0.0
51,51,AT_CCGT,2030,7,7,9,0.0
52,52,AT_CCGT,2030,7,10,12,0.0
53,53,AT_CCGT,2030,7,13,15,0.0
54,54,AT_CCGT,2030,7,16,18,0.0
55,55,AT_CCGT,2030,7,19,21,0.0
56,56,AT_CCGT,2030,7,22,24,0.0
57,57,AT_CCGT,2030,8,1,3,0.0
58,58,AT_CCGT,2030,8,4,6,0.0
59,59,AT_CCGT,2030,8,7,9,0.0
60,60,AT_CCGT,2030,8,10,12,0.0
61,61,AT_CCGT,2030,8,13,15,0.0
62,62,AT_CCGT,2030,8,16,18,0.0
63,63,AT_CCGT,2030,8,19,21,0.0
64,64,AT_CCGT,2030,8,22,24,0.0
65,65,AT_CCGT,2030,9,1,3,0.0
66,66,AT_CCGT,2030,9,4,6,0.0
67,67,AT_CCGT,2030,9,7,9,0.0
68,68,AT_CCGT,2030,9,10,12,0.0
69,69,AT_CCGT,2030,9,13,15,0.0
70,70,AT_CCGT,2030,9,16,18,0.0
71,71,AT_CCGT,2030,9,19,21,0.0
