id,asset,year,rep_period,time_block_start,time_block_end,dual_max_output_flow_with_basic_unit_commitment
388,BE_CCGT,2030,9,10,12,0.0
389,BE_CCGT,2030,9,13,15,0.0
390,BE_CCGT,2030,9,16,18,0.0
391,BE_CCGT,2030,9,19,21,0.0
392,BE_CCGT,2030,9,22,24,0.0
393,BE_CCGT,2030,10,1,3,0.0
394,BE_CCGT,2030,10,4,6,0.0
395,BE_CCGT,2030,10,7,9,0.0
396,BE_CCGT,2030,10,10,12,0.0
397,BE_CCGT,2030,10,13,15,0.0
398,BE_CCGT,2030,10,16,18,0.0
399,BE_CCGT,2030,10,19,21,0.0
400,BE_CCGT,2030,10,22,24,0.0
401,BE_Coal,2030,1,1,3,0.0
402,BE_Coal,2030,1,4,6,0.0
403,BE_Coal,2030,1,7,9,0.0
404,BE_Coal,2030,1,10,12,0.0
405,BE_Coal,2030,1,13,15,0.0
406,BE_Coal,2030,1,16,18,0.0
407,BE_Coal,2030,1,19,21,0.0
408,BE_Coal,2030,1,22,24,0.0
409,BE_Coal,2030,2,1,3,0.0
410,BE_Coal,2030,2,4,6,0.0
411,BE_Coal,2030,2,7,9,0.0
412,BE_Coal,2030,2,10,12,0.0
413,BE_Coal,2030,2,13,15,0.0
414,BE_Coal,2030,2,16,18,0.0
415,BE_Coal,2030,2,19,21,0.0
416,BE_Coal,2030,2,22,24,0.0
417,BE_Coal,2030,3,1,3,0.0
418,BE_Coal,2030,3,4,6,0.0
419,BE_Coal,2030,3,7,9,0.0
420,BE_Coal,2030,3,10,12,0.0
421,BE_Coal,2030,3,13,15,0.0
422,BE_Coal,2030,3,16,18,0.0
423,BE_Coal,2030,3,19,21,0.0
424,BE_Coal,2030,3,22,24,0.0
425,BE_Coal,2030,4,1,3,0.0
426,BE_Coal,2030,4,4,6,0.0
427,BE_Coal,2030,4,7,9,0.0
428,BE_Coal,2030,4,10,12,0.0
429,BE_Coal,2030,4,13,15,0.0
430,BE_Coal,2030,4,16,18,0.0
431,BE_Coal,2030,4,19,21,0.0
432,BE_Coal,2030,4,22,24,0.0
433,BE_Coal,2030,5,1,3,0.0
434,BE_Coal,2030,5,4,6,0.0
435,BE_Coal,2030,5,7,9,0.0
436,BE_Coal,2030,5,10,12,0.0
437,BE_Coal,2030,5,13,15,0.0
438,BE_Coal,2030,5,16,18,0.0
439,BE_Coal,2030,5,19,21,0.0
440,BE_Coal,2030,5,22,24,0.0
441,BE_Coal,2030,6,1,3,0.0
442,BE_Coal,2030,6,4,6,0.0
443,BE_Coal,2030,6,7,9,0.0
444,BE_Coal,2030,6,10,12,0.0
445,BE_Coal,2030,6,13,15,0.0
446,BE_Coal,2030,6,16,18,0.0
447,BE_Coal,2030,6,19,21,0.0
448,BE_Coal,2030,6,22,24,0.0
449,BE_Coal,2030,7,1,3,0.0
450,BE_Coal,2030,7,4,6,0.0
451,BE_Coal,2030,7,7,9,0.0
452,BE_Coal,2030,7,10,12,0.0
453,BE_Coal,2030,7,13,15,0.0
454,BE_Coal,2030,7,16,18,0.0
455,BE_Coal,2030,7,19,21,0.0
456,BE_Coal,2030,7,22,24,0.0
457,BE_Coal,2030,8,1,3,0.0
458,BE_Coal,2030,8,4,6,0.0
459,BE_Coal,2030,8,7,9,0.0
460,BE_Coal,2030,8,10,12,0.0
461,BE_Coal,2030,8,13,15,0.0
462,BE_Coal,2030,8,16,18,0.0
463,BE_Coal,2030,8,19,21,0.0
464,BE_Coal,2030,8,22,24,0.0
465,BE_Coal,2030,9,1,3,0.0
466,BE_Coal,2030,9,4,6,0.0
467,BE_Coal,2030,9,7,9,0.0
468,BE_Coal,2030,9,10,12,0.0
469,BE_Coal,2030,9,13,15,0.0
470,BE_Coal,2030,9,16,18,0.0
471,BE_Coal,2030,9,19,21,0.0
472,BE_Coal,2030,9,22,24,0.0
473,BE_Coal,2030,10,1,3,0.0
474,BE_Coal,2030,10,4,6,0.0
475,BE_Coal,2030,10,7,9,0.0
476,BE_Coal,2030,10,10,12,0.0
477,BE_Coal,2030,10,13,15,0.0
478,BE_Coal,2030,10,16,18,0.0
479,BE_Coal,2030,10,19,21,0.0
480,BE_Coal,2030,10,22,24,0.0
481,BE_Nuclear,2030,1,1,3,0.0
482,BE_Nuclear,2030,1,4,6,0.0
483,BE_Nuclear,2030,1,7,9,0.0
484,BE_Nuclear,2030,1,10,12,0.0
485,BE_Nuclear,2030,1,13,15,0.0
486,BE_Nuclear,2030,1,16,18,0.0
487,BE_Nuclear,2030,1,19,21,0.0
488,BE_Nuclear,2030,1,22,24,0.0
489,BE_Nuclear,2030,2,1,3,0.0
490,BE_Nuclear,2030,2,4,6,0.0
491,BE_Nuclear,2030,2,7,9,0.0
492,BE_Nuclear,2030,2,10,12,0.0
493,BE_Nuclear,2030,2,13,15,0.0
494,BE_Nuclear,2030,2,16,18,0.0
495,BE_Nuclear,2030,2,19,21,0.0
496,BE_Nuclear,2030,2,22,24,0.0
497,BE_Nuclear,2030,3,1,3,0.0
498,BE_Nuclear,2030,3,4,6,0.0
499,BE_Nuclear,2030,3,7,9,0.0
500,BE_Nuclear,2030,3,10,12,0.0
501,BE_Nuclear,2030,3,13,15,0.0
502,BE_Nuclear,2030,3,16,18,0.0
503,BE_Nuclear,2030,3,19,21,0.0
504,BE_Nuclear,2030,3,22,24,0.0
505,BE_Nuclear,2030,4,1,3,0.0
506,BE_Nuclear,2030,4,4,6,0.0
507,BE_Nuclear,2030,4,7,9,0.0
508,BE_Nuclear,2030,4,10,12,0.0
509,BE_Nuclear,2030,4,13,15,0.0
510,BE_Nuclear,2030,4,16,18,0.0
511,BE_Nuclear,2030,4,19,21,0.0
512,BE_Nuclear,2030,4,22,24,0.0
513,BE_Nuclear,2030,5,1,3,0.0
514,BE_Nuclear,2030,5,4,6,0.0
515,BE_Nuclear,2030,5,7,9,0.0
516,BE_Nuclear,2030,5,10,12,0.0
517,BE_Nuclear,2030,5,13,15,0.0
518,BE_Nuclear,2030,5,16,18,0.0
519,BE_Nuclear,2030,5,19,21,0.0
520,BE_Nuclear,2030,5,22,24,0.0
521,BE_Nuclear,2030,6,1,3,0.0
522,BE_Nuclear,2030,6,4,6,0.0
523,BE_Nuclear,2030,6,7,9,0.0
524,BE_Nuclear,2030,6,10,12,0.0
525,BE_Nuclear,2030,6,13,15,0.0
526,BE_Nuclear,2030,6,16,18,0.0
527,BE_Nuclear,2030,6,19,21,0.0
528,BE_Nuclear,2030,6,22,24,0.0
529,BE_Nuclear,2030,7,1,3,0.0
530,BE_Nuclear,2030,7,4,6,0.0
531,BE_Nuclear,2030,7,7,9,0.0
532,BE_Nuclear,2030,7,10,12,0.0
533,BE_Nuclear,2030,7,13,15,0.0
534,BE_Nuclear,2030,7,16,18,0.0
535,BE_Nuclear,2030,7,19,21,0.0
536,BE_Nuclear,2030,7,22,24,0.0
537,BE_Nuclear,2030,8,1,3,0.0
538,BE_Nuclear,2030,8,4,6,0.0
539,BE_Nuclear,2030,8,7,9,0.0
540,BE_Nuclear,2030,8,10,12,0.0
541,BE_Nuclear,2030,8,13,15,0.0
542,BE_Nuclear,2030,8,16,18,0.0
543,BE_Nuclear,2030,8,19,21,0.0
544,BE_Nuclear,2030,8,22,24,0.0
545,BE_Nuclear,2030,9,1,3,0.0
546,BE_Nuclear,2030,9,4,6,0.0
547,BE_Nuclear,2030,9,7,9,0.0
548,BE_Nuclear,2030,9,10,12,0.0
549,BE_Nuclear,2030,9,13,15,0.0
550,BE_Nuclear,2030,9,16,18,0.0
551,BE_Nuclear,2030,9,19,21,0.0
552,BE_Nuclear,2030,9,22,24,0.0
553,BE_Nuclear,2030,10,1,3,0.0
554,BE_Nuclear,2030,10,4,6,0.0
555,BE_Nuclear,2030,10,7,9,0.0
556,BE_Nuclear,2030,10,10,12,0.0
557,BE_Nuclear,2030,10,13,15,0.0
558,BE_Nuclear,2030,10,16,18,0.0
559,BE_Nuclear,2030,10,19,21,0.0
560,BE_Nuclear,2030,10,22,24,0.0
561,BE_OCGT,2030,1,1,3,0.0
562,BE_OCGT,2030,1,4,6,0.0
563,BE_OCGT,2030,1,7,9,0.0
564,BE_OCGT,2030,1,10,12,0.0
565,BE_OCGT,2030,1,13,15,0.0
566,BE_OCGT,2030,1,16,18,0.0
567,BE_OCGT,2030,1,19,21,0.0
568,BE_OCGT,2030,1,22,24,0.0
569,BE_OCGT,2030,2,1,3,0.0
570,BE_OCGT,2030,2,4,6,0.0
571,BE_OCGT,2030,2,7,9,0.0
572,BE_OCGT,2030,2,10,12,0.0
573,BE_OCGT,2030,2,13,15,0.0
574,BE_OCGT,2030,2,16,18,0.0
575,BE_OCGT,2030,2,19,21,0.0
576,BE_OCGT,2030,2,22,24,0.0
577,BE_OCGT,2030,3,1,3,0.0
578,BE_OCGT,2030,3,4,6,0.0
579,BE_OCGT,2030,3,7,9,0.0
580,BE_OCGT,2030,3,10,12,0.0
581,BE_OCGT,2030,3,13,15,0.0
582,BE_OCGT,2030,3,16,18,0.0
583,BE_OCGT,2030,3,19,21,0.0
584,BE_OCGT,2030,3,22,24,0.0
585,BE_OCGT,2030,4,1,3,0.0
586,BE_OCGT,2030,4,4,6,0.0
