id,asset,year,rep_period,time_block_start,time_block_end,dual_balance_hub
134,BE_Balance,2030,7,16,18,5.661
135,BE_Balance,2030,7,19,21,5.661
136,BE_Balance,2030,7,22,24,3.6630000000000003
137,BE_Balance,2030,8,1,3,0.186
138,BE_Balance,2030,8,4,6,0.186
139,BE_Balance,2030,8,7,9,0.186
140,BE_Balance,2030,8,10,12,0.186
141,BE_Balance,2030,8,13,15,0.186
142,BE_Balance,2030,8,16,18,0.186
143,BE_Balance,2030,8,19,21,0.186
144,BE_Balance,2030,8,22,24,0.186
145,BE_Balance,2030,9,1,3,0.258
146,BE_Balance,2030,9,4,6,0.258
147,BE_Balance,2030,9,7,9,2.2833
148,BE_Balance,2030,9,10,12,0.258
149,BE_Balance,2030,9,13,15,0.258
150,BE_Balance,2030,9,16,18,0.258
151,BE_Balance,2030,9,19,21,2.2833
152,BE_Balance,2030,9,22,24,2.2833
153,BE_Balance,2030,10,1,3,2.4426
154,BE_Balance,2030,10,4,6,4.554
155,BE_Balance,2030,10,7,9,4.554
156,BE_Balance,2030,10,10,12,4.554
157,BE_Balance,2030,10,13,15,4.554
158,BE_Balance,2030,10,16,18,7.037999999999999
159,BE_Balance,2030,10,19,21,7.037999999999999
160,BE_Balance,2030,10,22,24,4.554
161,CH_Balance,2030,1,1,3,2.8143000000000002
162,CH_Balance,2030,1,4,6,2.8143000000000002
163,CH_Balance,2030,1,7,9,5.247
164,CH_Balance,2030,1,10,12,2.8143000000000002
165,CH_Balance,2030,1,13,15,2.8143000000000002
166,CH_Balance,2030,1,16,18,2.8143000000000002
167,CH_Balance,2030,1,19,21,5.247
168,CH_Balance,2030,1,22,24,2.8143000000000002
169,CH_Balance,2030,2,1,3,1.7523
170,CH_Balance,2030,2,4,6,1.7523
171,CH_Balance,2030,2,7,9,1.7523
172,CH_Balance,2030,2,10,12,1.7523
173,CH_Balance,2030,2,13,15,1.7523
174,CH_Balance,2030,2,16,18,1.7523
175,CH_Balance,2030,2,19,21,1.7523
176,CH_Balance,2030,2,22,24,1.7523
177,CH_Balance,2030,3,1,3,1.5399
178,CH_Balance,2030,3,4,6,1.5399
179,CH_Balance,2030,3,7,9,4.436999999999999
180,CH_Balance,2030,3,10,12,2.871
181,CH_Balance,2030,3,13,15,1.5399
182,CH_Balance,2030,3,16,18,4.436999999999999
183,CH_Balance,2030,3,19,21,27.29326282266534
184,CH_Balance,2030,3,22,24,2.871
185,CH_Balance,2030,4,1,3,1.2213
186,CH_Balance,2030,4,4,6,1.2213
187,CH_Balance,2030,4,7,9,2.277
188,CH_Balance,2030,4,10,12,1.2213
189,CH_Balance,2030,4,13,15,1.2213
190,CH_Balance,2030,4,16,18,1.2213
191,CH_Balance,2030,4,19,21,2.277
192,CH_Balance,2030,4,22,24,1.2213
193,CH_Balance,2030,5,1,3,2.7612
194,CH_Balance,2030,5,4,6,2.7612
195,CH_Balance,2030,5,7,9,2.7612
196,CH_Balance,2030,5,10,12,2.7612
197,CH_Balance,2030,5,13,15,2.7612
198,CH_Balance,2030,5,16,18,2.7612
199,CH_Balance,2030,5,19,21,2.7612
200,CH_Balance,2030,5,22,24,2.7612
201,CH_Balance,2030,6,1,3,0.9558
202,CH_Balance,2030,6,4,6,0.9558
203,CH_Balance,2030,6,7,9,0.9558
204,CH_Balance,2030,6,10,12,0.9558
205,CH_Balance,2030,6,13,15,0.9558
206,CH_Balance,2030,6,16,18,0.9558
207,CH_Balance,2030,6,19,21,0.9558
208,CH_Balance,2030,6,22,24,0.9558
209,CH_Balance,2030,7,1,3,1.9647000000000001
210,CH_Balance,2030,7,4,6,3.6630000000000003
211,CH_Balance,2030,7,7,9,5.661
212,CH_Balance,2030,7,10,12,1.9647000000000001
213,CH_Balance,2030,7,13,15,1.9647000000000001
214,CH_Balance,2030,7,16,18,3.6630000000000003
215,CH_Balance,2030,7,19,21,5.661
216,CH_Balance,2030,7,22,24,3.6630000000000003
217,CH_Balance,2030,8,1,3,1.6461000000000001
218,CH_Balance,2030,8,4,6,1.6461000000000001
219,CH_Balance,2030,8,7,9,1.6461000000000001
220,CH_Balance,2030,8,10,12,0.186
221,CH_Balance,2030,8,13,15,0.186
222,CH_Balance,2030,8,16,18,1.6461000000000001
223,CH_Balance,2030,8,19,21,1.6461000000000001
224,CH_Balance,2030,8,22,24,1.6461000000000001
225,CH_Balance,2030,9,1,3,2.2833
226,CH_Balance,2030,9,4,6,2.2833
227,CH_Balance,2030,9,7,9,2.2833
228,CH_Balance,2030,9,10,12,2.2833
229,CH_Balance,2030,9,13,15,0.258
230,CH_Balance,2030,9,16,18,2.2833
231,CH_Balance,2030,9,19,21,2.2833
232,CH_Balance,2030,9,22,24,2.2833
233,CH_Balance,2030,10,1,3,4.554
234,CH_Balance,2030,10,4,6,4.554
235,CH_Balance,2030,10,7,9,7.037999999999999
236,CH_Balance,2030,10,10,12,4.554
237,CH_Balance,2030,10,13,15,2.4426
