id,from_asset,to_asset,year,rep_period,efficiency,flow_coefficient_in_capacity_constraint,time_block_start,time_block_end,solution
69,BE_Coal,BE_Balance,2030,1,1.0,1.0,13,15,2135.2549676858584
70,BE_Coal,BE_Balance,2030,1,1.0,1.0,16,18,3296.0
71,BE_Coal,BE_Balance,2030,1,1.0,1.0,19,21,3296.0
72,BE_Coal,BE_Balance,2030,1,1.0,1.0,22,24,2354.10282876385
73,BE_CCGT,BE_Balance,2030,1,1.0,1.0,1,3,0.0
74,BE_CCGT,BE_Balance,2030,1,1.0,1.0,4,6,0.0
75,BE_CCGT,BE_Balance,2030,1,1.0,1.0,7,9,0.0
76,BE_CCGT,BE_Balance,2030,1,1.0,1.0,10,12,0.0
77,BE_CCGT,BE_Balance,2030,1,1.0,1.0,13,15,0.0
78,BE_CCGT,BE_Balance,2030,1,1.0,1.0,16,18,0.0
79,BE_CCGT,BE_Balance,2030,1,1.0,1.0,19,21,0.0
80,BE_CCGT,BE_Balance,2030,1,1.0,1.0,22,24,0.0
81,BE_Battery,BE_Balance,2030,1,1.0,1.0,1,3,0.0
82,BE_Battery,BE_Balance,2030,1,1.0,1.0,4,6,0.0
83,BE_Battery,BE_Balance,2030,1,1.0,1.0,7,9,0.0
84,BE_Battery,BE_Balance,2030,1,1.0,1.0,10,12,0.0
85,BE_Battery,BE_Balance,2030,1,1.0,1.0,13,15,0.0
86,BE_Battery,BE_Balance,2030,1,1.0,1.0,16,18,0.0
87,BE_Battery,BE_Balance,2030,1,1.0,1.0,19,21,0.0
88,BE_Battery,BE_Balance,2030,1,1.0,1.0,22,24,0.0
89,BE_Balance,BE_Battery,2030,1,1.0,1.0,1,3,0.0
90,BE_Balance,BE_Battery,2030,1,1.0,1.0,4,6,0.0
91,BE_Balance,BE_Battery,2030,1,1.0,1.0,7,9,0.0
92,BE_Balance,BE_Battery,2030,1,1.0,1.0,10,12,0.0
93,BE_Balance,BE_Battery,2030,1,1.0,1.0,13,15,0.0
94,BE_Balance,BE_Battery,2030,1,1.0,1.0,16,18,0.0
95,BE_Balance,BE_Battery,2030,1,1.0,1.0,19,21,0.0
96,BE_Balance,BE_Battery,2030,1,1.0,1.0,22,24,0.0
97,DE_Balance,DE_E_Demand,2030,1,1.0,1.0,1,3,39710.75449496755
98,DE_Balance,DE_E_Demand,2030,1,1.0,1.0,4,6,45578.74854975038
99,DE_Balance,DE_E_Demand,2030,1,1.0,1.0,7,9,52795.89761642878
100,DE_Balance,DE_E_Demand,2030,1,1.0,1.0,10,12,56696.14811306962
101,DE_Balance,DE_E_Demand,2030,1,1.0,1.0,13,15,55523.77239384348
102,DE_Balance,DE_E_Demand,2030,1,1.0,1.0,16,18,53701.68432631583
103,DE_Balance,DE_E_Demand,2030,1,1.0,1.0,19,21,48901.02988705423
104,DE_Balance,DE_E_Demand,2030,1,1.0,1.0,22,24,40379.831017161305
105,DE_Solar,DE_Balance,2030,1,1.0,1.0,1,3,0.0
106,DE_Solar,DE_Balance,2030,1,1.0,1.0,4,6,79.41648720769777
107,DE_Solar,DE_Balance,2030,1,1.0,1.0,7,9,8051.435157866034
108,DE_Solar,DE_Balance,2030,1,1.0,1.0,10,12,25619.961862255688
109,DE_Solar,DE_Balance,2030,1,1.0,1.0,13,15,28629.44698272294
110,DE_Solar,DE_Balance,2030,1,1.0,1.0,16,18,17343.331498901658
111,DE_Solar,DE_Balance,2030,1,1.0,1.0,19,21,2206.7676720602244
112,DE_Solar,DE_Balance,2030,1,1.0,1.0,22,24,0.0
113,DE_Wind_Onshore,DE_Balance,2030,1,1.0,1.0,1,3,26368.312887678345
114,DE_Wind_Onshore,DE_Balance,2030,1,1.0,1.0,4,6,23460.299051508933
115,DE_Wind_Onshore,DE_Balance,2030,1,1.0,1.0,7,9,19457.50467711708
116,DE_Wind_Onshore,DE_Balance,2030,1,1.0,1.0,10,12,13760.41565326787
117,DE_Wind_Onshore,DE_Balance,2030,1,1.0,1.0,13,15,16111.327183352192
118,DE_Wind_Onshore,DE_Balance,2030,1,1.0,1.0,16,18,19799.145775227567
119,DE_Wind_Onshore,DE_Balance,2030,1,1.0,1.0,19,21,25364.223580018363
120,DE_Wind_Onshore,DE_Balance,2030,1,1.0,1.0,22,24,33375.530119709925
121,DE_Wind_Offshore,DE_Balance,2030,1,1.0,1.0,1,3,0.0
122,DE_Wind_Offshore,DE_Balance,2030,1,1.0,1.0,4,6,0.0
123,DE_Wind_Offshore,DE_Balance,2030,1,1.0,1.0,7,9,0.0
124,DE_Wind_Offshore,DE_Balance,2030,1,1.0,1.0,10,12,0.0
125,DE_Wind_Offshore,DE_Balance,2030,1,1.0,1.0,13,15,0.0
126,DE_Wind_Offshore,DE_Balance,2030,1,1.0,1.0,16,18,0.0
127,DE_Wind_Offshore,DE_Balance,2030,1,1.0,1.0,19,21,0.0
128,DE_Wind_Offshore,DE_Balance,2030,1,1.0,1.0,22,24,0.0
129,DE_Coal,DE_Balance,2030,1,1.0,1.0,1,3,14151.771718578562
130,DE_Coal,DE_Balance,2030,1,1.0,1.0,4,6,18952.0
131,DE_Coal,DE_Balance,2030,1,1.0,1.0,7,9,18952.0
132,DE_Coal,DE_Balance,2030,1,1.0,1.0,10,12,18952.0
133,DE_Coal,DE_Balance,2030,1,1.0,1.0,13,15,15283.546024379428
134,DE_Coal,DE_Balance,2030,1,1.0,1.0,16,18,18952.0
135,DE_Coal,DE_Balance,2030,1,1.0,1.0,19,21,18952.0
