id,from_asset,to_asset,year,rep_period,efficiency,flow_coefficient_in_capacity_constraint,time_block_start,time_block_end,solution
14948,AT_Solar,AT_Balance,2030,8,1.0,1.0,20,20,16.743637548
14949,AT_Solar,AT_Balance,2030,8,1.0,1.0,21,21,0.0
14950,AT_Solar,AT_Balance,2030,8,1.0,1.0,22,22,0.0
14951,AT_Solar,AT_Balance,2030,8,1.0,1.0,23,23,0.0
14952,AT_Solar,AT_Balance,2030,8,1.0,1.0,24,24,0.0
14953,AT_Nuclear,AT_Balance,2030,8,1.0,1.0,1,1,0.0
14954,AT_Nuclear,AT_Balance,2030,8,1.0,1.0,2,2,0.0
14955,AT_Nuclear,AT_Balance,2030,8,1.0,1.0,3,3,0.0
14956,AT_Nuclear,AT_Balance,2030,8,1.0,1.0,4,4,0.0
14957,AT_Nuclear,AT_Balance,2030,8,1.0,1.0,5,5,0.0
14958,AT_Nuclear,AT_Balance,2030,8,1.0,1.0,6,6,0.0
14959,AT_Nuclear,AT_Balance,2030,8,1.0,1.0,7,7,0.0
14960,AT_Nuclear,AT_Balance,2030,8,1.0,1.0,8,8,0.0
14961,AT_Nuclear,AT_Balance,2030,8,1.0,1.0,9,9,0.0
14962,AT_Nuclear,AT_Balance,2030,8,1.0,1.0,10,10,0.0
14963,AT_Nuclear,AT_Balance,2030,8,1.0,1.0,11,11,0.0
14964,AT_Nuclear,AT_Balance,2030,8,1.0,1.0,12,12,0.0
14965,AT_Nuclear,AT_Balance,2030,8,1.0,1.0,13,13,0.0
14966,AT_Nuclear,AT_Balance,2030,8,1.0,1.0,14,14,0.0
14967,AT_Nuclear,AT_Balance,2030,8,1.0,1.0,15,15,0.0
14968,AT_Nuclear,AT_Balance,2030,8,1.0,1.0,16,16,0.0
14969,AT_Nuclear,AT_Balance,2030,8,1.0,1.0,17,17,0.0
14970,AT_Nuclear,AT_Balance,2030,8,1.0,1.0,18,18,0.0
14971,AT_Nuclear,AT_Balance,2030,8,1.0,1.0,19,19,0.0
